"m.rt","m.st","m.lf","RmTm","SmTm","LmTm","tot","m.to","h.t","log_ht","leaf_habit","myc_group","Temp","Prec","study_species","Study","SppName","family","order"
0.00053,0.00159,0.00177,0.136246786632391,0.408740359897172,0.455012853470437,0.00389,0.00389,0.52,-0.653926467406664,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00172,0.00214,0.00205,0.291032148900169,0.362098138747885,0.346869712351946,0.00591,0.00591,0.54,-0.616186139423817,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00134,0.00181,0.00288,0.222222222222222,0.30016583747927,0.477611940298508,0.00603,0.00603,0.54,-0.616186139423817,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00354,0.00435,0.00547,0.26497005988024,0.32559880239521,0.409431137724551,0.01336,0.01336,0.61,-0.49429632181478,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00089,0.0023,0.00095,0.214975845410628,0.555555555555556,0.229468599033816,0.00414,0.00414,0.68,-0.385662480811985,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00123,0.00374,0.00251,0.164438502673797,0.5,0.335561497326203,0.00748,0.00748,0.71,-0.342490308946776,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00085,0.00258,0.00269,0.138888888888889,0.42156862745098,0.439542483660131,0.00612,0.00612,0.73,-0.3147107448397,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00155,0.00499,0.00223,0.176738882554162,0.568985176738882,0.254275940706956,0.00877,0.00877,0.79,-0.23572233352107,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00426,0.00678,0.00838,0.219361483007209,0.349124613800206,0.431513903192585,0.01942,0.01942,0.81,-0.210721031315653,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
0.00163,0.00573,0.00343,0.151065801668211,0.531047265987025,0.317886932344764,0.01079,0.01079,0.82,-0.198450938723838,"evergreen","ECM",26.9874992370605,3124,"Aiba2005_Shorea_curtisii","Aiba2005","Shorea_curtisii","Dipterocarpaceae","Malvales"
